Transaction Number,Item1,Item2,Item3,Item4,Item5,Item6,Item7
1,Bread,Wine,Eggs,Meat,Cheese,Pencil,Diaper
2,Bread,Cheese,Meat,Diaper,Wine,Milk,Pencil
3,Cheese,Meat,Eggs,Milk,Wine,,
4,Cheese,Meat,Eggs,Milk,Wine,,
5,Meat,Pencil,Wine,,,,
6,Eggs,Bread,Wine,Pencil,Milk,Diaper,Bagel
7,Wine,Pencil,Eggs,Cheese,,,
8,Bagel,Bread,Milk,Pencil,Diaper,,
9,Bread,Diaper,Cheese,Milk,Wine,Eggs,
10,Bagel,Wine,Diaper,Meat,Pencil,Eggs,Cheese
11,Cheese,Meat,Eggs,Milk,Wine,,
12,Bagel,Eggs,Meat,Bread,Diaper,Wine,Milk
13,Bread,Diaper,Pencil,Bagel,Meat,,
14,Bagel,Cheese,Milk,Meat,,,
15,Bread,,,,,,
16,Pencil,Diaper,Bagel,,,,
17,Meat,Bagel,Bread,,,,
18,Bread,Bagel,Milk,,,,
19,Diaper,,,,,,
20,Bagel,Cheese,Meat,Bread,Diaper,Eggs,
21,Meat,Pencil,Cheese,Bread,,,
22,Cheese,Eggs,Wine,Bread,Milk,Pencil,Meat
23,Eggs,Bagel,Cheese,Meat,Diaper,,
24,Diaper,Wine,Eggs,Pencil,Meat,,
25,Diaper,Meat,Milk,Bread,Bagel,Cheese,
26,Pencil,,,,,,
27,Cheese,Meat,Eggs,Milk,Wine,,
28,Diaper,Meat,Bread,Pencil,Wine,Cheese,Milk
29,Bread,Bagel,,,,,
30,Meat,Bread,Eggs,Cheese,Milk,Diaper,
31,Diaper,Meat,,,,,
32,Cheese,Bagel,Bread,Diaper,Wine,,
33,Cheese,Milk,Bread,,,,
34,Bread,Bagel,Milk,,,,
35,Diaper,Bread,Wine,Meat,Bagel,,
36,Bread,Cheese,Milk,Wine,Diaper,,
37,Bread,Bagel,Milk,,,,
38,Bread,Bagel,Milk,,,,
39,Eggs,,,,,,
40,Bread,Bagel,Milk,,,,
41,Bread,Bagel,Milk,,,,
42,Meat,,,,,,
43,Eggs,Wine,Milk,Cheese,Pencil,Bagel,Bread
44,Bagel,Eggs,,,,,
45,Diaper,Wine,Meat,,,,
46,Diaper,Bread,Bagel,Eggs,Wine,Milk,Cheese
47,Cheese,Meat,Eggs,Milk,,,
48,Eggs,Wine,,,,,
49,Cheese,Meat,Eggs,Milk,Wine,,
50,Wine,Milk,,,,,
51,Diaper,,,,,,
52,Wine,Bread,Bagel,Diaper,Milk,,
53,Cheese,Meat,Eggs,Milk,Wine,,
54,Cheese,Meat,Eggs,Milk,,,
55,Cheese,Diaper,Meat,Wine,Bread,,
56,Wine,Milk,Diaper,Pencil,Cheese,Eggs,
57,Cheese,Eggs,Meat,Diaper,Wine,Milk,Bread
58,Diaper,Eggs,,,,,
59,Cheese,Meat,Eggs,Milk,Wine,,
60,Wine,Cheese,Bagel,Pencil,Bread,Meat,Diaper
61,Milk,Pencil,Cheese,Bagel,,,
62,Meat,Cheese,Diaper,Wine,,,
63,Bread,Bagel,Milk,,,,
64,Bread,Meat,Pencil,Milk,Wine,Diaper,
65,Pencil,Cheese,Diaper,Wine,Eggs,,
66,Bread,Diaper,Milk,Pencil,Cheese,Eggs,
67,Pencil,Milk,Cheese,,,,
68,Eggs,Bagel,Bread,,,,
69,Diaper,Bread,Cheese,Bagel,Meat,Pencil,
70,Bread,Bagel,Milk,Diaper,,,
71,Eggs,Bread,,,,,
72,Pencil,Milk,Diaper,Eggs,,,
73,Pencil,Milk,Meat,Cheese,,,
74,Bagel,Bread,Diaper,Cheese,Meat,,
75,Cheese,Meat,Eggs,Milk,,,
76,Cheese,Meat,Eggs,Milk,,,
77,Bread,Wine,Eggs,Bagel,Cheese,Pencil,Diaper
78,Diaper,,,,,,
79,Cheese,Meat,Eggs,Milk,,,
80,Milk,,,,,,
81,Bread,Pencil,,,,,
82,Wine,Milk,Cheese,,,,
83,Cheese,Bagel,,,,,
84,Pencil,Diaper,Wine,,,,
85,Eggs,Meat,Cheese,,,,
86,Meat,Bagel,Pencil,,,,
87,Meat,Eggs,Bagel,Cheese,Wine,,
88,Bread,Cheese,Wine,Bagel,Milk,Meat,
89,Meat,Cheese,Pencil,Wine,Bread,,
90,Milk,Cheese,Wine,Bagel,Meat,Pencil,Bread
91,Pencil,Cheese,Wine,Milk,Diaper,Bagel,
92,Bread,Bagel,Milk,,,,
93,Cheese,Meat,Eggs,Milk,,,
94,Cheese,Diaper,Pencil,Bagel,Wine,Meat,Eggs
95,Eggs,Meat,Wine,Bagel,Milk,Cheese,Diaper
96,Meat,,,,,,
97,Bread,Bagel,Milk,,,,
98,Pencil,,,,,,
99,Wine,Diaper,Bread,Cheese,,,
100,Bagel,Pencil,Wine,Meat,,,
101,Wine,Bread,,,,,
102,Bread,Milk,Eggs,Cheese,Wine,Pencil,
103,Cheese,Milk,Meat,Eggs,Bagel,,
104,Cheese,Meat,Eggs,Milk,,,
105,Diaper,Wine,Meat,Eggs,,,
106,Meat,Diaper,,,,,
107,Pencil,Wine,Bread,Milk,,,
108,Bagel,Bread,Eggs,Milk,Pencil,Meat,Wine
109,Milk,Cheese,Wine,Meat,Bagel,Diaper,Bread
110,Bagel,Diaper,Milk,Cheese,Wine,,
111,Bread,Bagel,Milk,,,,
112,Diaper,,,,,,
113,Bagel,Pencil,Bread,Cheese,Eggs,,
114,Bread,Eggs,Cheese,,,,
115,Meat,Milk,Pencil,,,,
116,Bread,Cheese,Eggs,Meat,Pencil,Diaper,Wine
117,Meat,Cheese,,,,,
118,Eggs,Wine,Bagel,Bread,Meat,,
119,Bagel,Cheese,,,,,
120,Bagel,Pencil,Diaper,Wine,Meat,,
121,Milk,Pencil,,,,,
122,Pencil,Wine,Bagel,Eggs,Diaper,,
123,Bread,Meat,Milk,Cheese,Wine,Eggs,Pencil
124,Bread,Bagel,Milk,,,,
125,Pencil,Bread,,,,,
126,Eggs,Milk,Bagel,Wine,,,
127,Cheese,Pencil,Meat,Eggs,Milk,Bagel,Wine
128,Cheese,Milk,,,,,
129,Diaper,Pencil,Milk,Bread,,,
130,Bread,Bagel,Milk,,,,
131,Cheese,Meat,Eggs,Milk,,,
132,Bread,Bagel,Milk,,,,
133,Diaper,,,,,,
134,Meat,Bread,Wine,Diaper,Bagel,,
135,Bagel,,,,,,
136,Wine,Diaper,,,,,
137,Meat,Diaper,Eggs,Cheese,Bagel,,
138,Bread,Pencil,Bagel,Eggs,,,
139,Milk,Eggs,Meat,Cheese,Bread,Wine,Pencil
140,Pencil,Eggs,Meat,,,,
141,Pencil,Bagel,,,,,
142,Bread,Bagel,Meat,Cheese,Eggs,Pencil,
143,Milk,Eggs,Bread,Cheese,,,
144,Milk,,,,,,
145,Pencil,Meat,Bread,Bagel,Cheese,,
146,Wine,Eggs,Bread,Diaper,,,
147,Meat,Cheese,Eggs,Bagel,Wine,Bread,
148,Meat,Cheese,Bread,Milk,,,
149,Cheese,Milk,Pencil,Eggs,Bread,Meat,
150,Bread,,,,,,
151,Bread,Eggs,Bagel,Diaper,Milk,Meat,Pencil
152,Milk,Diaper,,,,,
153,Cheese,Eggs,Meat,Wine,Bagel,Diaper,Bread
154,Diaper,Bagel,Bread,Pencil,Cheese,Milk,
155,Diaper,,,,,,
156,Cheese,Meat,Eggs,Milk,,,
157,Cheese,Wine,Meat,Bagel,,,
158,Cheese,Diaper,Eggs,Milk,,,
159,Wine,Cheese,Meat,Pencil,Eggs,,
160,Eggs,Bagel,Pencil,Wine,Cheese,,
161,Bagel,Diaper,,,,,
162,Meat,,,,,,
163,Bread,Eggs,Wine,,,,
164,Bread,Milk,Pencil,Wine,Eggs,Bagel,
165,Milk,Bread,Bagel,,,,
166,Bagel,Eggs,,,,,
167,Wine,Cheese,Milk,Meat,Bread,Eggs,
168,Meat,Wine,,,,,
169,Wine,Bread,,,,,
170,Meat,Eggs,,,,,
171,Bagel,Milk,Wine,Pencil,Cheese,,
172,Cheese,Meat,Eggs,Milk,,,
173,Bread,Diaper,Pencil,Bagel,Cheese,,
174,Bread,Pencil,Diaper,Cheese,,,
175,Cheese,Meat,Eggs,Milk,,,
176,Eggs,Bagel,Meat,Diaper,Pencil,Milk,Bread
177,Bread,Bagel,Milk,,,,
178,Diaper,Meat,Wine,Pencil,Bread,,
179,Eggs,Cheese,,,,,
180,Cheese,Pencil,Wine,,,,
181,Eggs,,,,,,
182,Pencil,Milk,Eggs,,,,
183,Bagel,Cheese,Eggs,Milk,Meat,Pencil,Bread
184,Bagel,Diaper,Pencil,Milk,Meat,,
185,Cheese,Meat,Eggs,Milk,,,
186,Cheese,Bread,Wine,,,,
187,Bread,Cheese,Milk,Diaper,Pencil,,
188,Milk,Pencil,Bagel,Wine,Eggs,Meat,
189,Wine,Milk,Eggs,Bread,Meat,,
190,Bread,,,,,,
191,Bread,Diaper,Pencil,Meat,Wine,,
192,Cheese,Pencil,,,,,
193,Bread,Diaper,,,,,
194,Bagel,Diaper,Wine,Bread,,,
195,Wine,Bread,Diaper,,,,
196,Bread,Bagel,Milk,,,,
197,Diaper,Bagel,,,,,
198,Bread,Meat,Pencil,Eggs,Cheese,Milk,Wine
199,Bread,Wine,Diaper,Eggs,Pencil,,
200,Bread,Wine,Diaper,Eggs,Pencil,,
201,Bread,Wine,Diaper,,,,
202,Bread,Wine,Diaper,Eggs,,,
203,Bread,Wine,Diaper,Eggs,Pencil,Milk,
204,Wine,Pencil,Eggs,Cheese,,,
205,Bagel,Bread,Milk,Pencil,Diaper,,
206,Bread,Diaper,Cheese,Milk,Wine,Eggs,
207,Bagel,Wine,Diaper,Meat,Pencil,Eggs,Cheese
208,Cheese,Meat,Eggs,Milk,Wine,,
209,Bagel,Eggs,Meat,Bread,Diaper,Wine,Milk
210,Bread,Diaper,Pencil,Bagel,Meat,,
211,Bagel,Cheese,Milk,Meat,,,
212,Bread,,,,,,
213,Pencil,Diaper,Bagel,,,,
214,Meat,Bagel,Bread,,,,
215,Bread,Bagel,Milk,,,,
216,Diaper,,,,,,
217,Bagel,Cheese,Meat,Bread,Diaper,Eggs,
218,Meat,Pencil,Cheese,Bread,,,
219,Cheese,Eggs,Wine,Bread,Milk,Pencil,Meat
220,Eggs,Bagel,Cheese,Meat,Diaper,,
221,Diaper,Wine,Eggs,Pencil,Meat,,
222,Diaper,Meat,Milk,Bread,Bagel,Cheese,
223,Pencil,,,,,,
224,Cheese,Meat,Eggs,Milk,Wine,,
225,Diaper,Meat,Bread,Pencil,Wine,Cheese,Milk
226,Bread,Bagel,,,,,
227,Meat,Bread,Eggs,Cheese,Milk,Diaper,
228,Diaper,Meat,,,,,
229,Cheese,Bagel,Bread,Diaper,Wine,,
230,Cheese,Milk,Bread,,,,
231,Bread,Bagel,Milk,,,,
232,Diaper,Bread,Wine,Meat,Bagel,,
233,Bread,Cheese,Milk,Wine,Diaper,,
234,Bread,Bagel,Milk,,,,
235,Bread,Bagel,Milk,,,,
236,Eggs,,,,,,
237,Bread,Bagel,Milk,,,,
238,Bread,Bagel,Milk,,,,
239,Meat,,,,,,
240,Eggs,Wine,Milk,Cheese,Pencil,Bagel,Bread
241,Bagel,Eggs,,,,,
242,Diaper,Wine,Meat,,,,
243,Diaper,Bread,Bagel,Eggs,Wine,Milk,Cheese
244,Cheese,Meat,Eggs,Milk,,,
245,Eggs,Wine,,,,,
246,Cheese,Meat,Eggs,Milk,Wine,,
247,Wine,Milk,,,,,
248,Diaper,,,,,,
249,Wine,Bread,Bagel,Diaper,Milk,,
250,Cheese,Meat,Eggs,Milk,Wine,,
251,Cheese,Meat,Eggs,Milk,,,
252,Cheese,Diaper,Meat,Wine,Bread,,
253,Wine,Milk,Diaper,Pencil,Cheese,Eggs,
254,Cheese,Eggs,Meat,Diaper,Wine,Milk,Bread
255,Diaper,Eggs,,,,,
256,Cheese,Meat,Eggs,Milk,Wine,,
257,Wine,Cheese,Bagel,Pencil,Bread,Meat,Diaper
258,Milk,Pencil,Cheese,Bagel,,,
259,Meat,Cheese,Diaper,Wine,,,
260,Bread,Bagel,Milk,,,,
261,Bread,Meat,Pencil,Milk,Wine,Diaper,
262,Pencil,Cheese,Diaper,Wine,Eggs,,
263,Bread,Diaper,Milk,Pencil,Cheese,Eggs,
264,Pencil,Milk,Cheese,,,,
265,Eggs,Bagel,Bread,,,,
266,Diaper,Bread,Cheese,Bagel,Meat,Pencil,
267,Bread,Bagel,Milk,Diaper,,,
268,Eggs,Bread,,,,,
269,Pencil,Milk,Diaper,Eggs,,,
270,Pencil,Milk,Meat,Cheese,,,
271,Bagel,Bread,Diaper,Cheese,Meat,,
272,Cheese,Meat,Eggs,Milk,,,
273,Cheese,Meat,Eggs,Milk,,,
274,Bread,Wine,Eggs,Bagel,Cheese,Pencil,Diaper
275,Diaper,,,,,,
276,Cheese,Meat,Eggs,Milk,,,
277,Milk,,,,,,
278,Bread,Pencil,,,,,
279,Wine,Milk,Cheese,,,,
280,Cheese,Bagel,,,,,
281,Pencil,Diaper,Wine,,,,
282,Eggs,Meat,Cheese,,,,
283,Meat,Bagel,Pencil,,,,
284,Meat,Eggs,Bagel,Cheese,Wine,,
285,Bread,Cheese,Wine,Bagel,Milk,Meat,
286,Meat,Cheese,Pencil,Wine,Bread,,
287,Milk,Cheese,Wine,Bagel,Meat,Pencil,Bread
288,Pencil,Cheese,Wine,Milk,Diaper,Bagel,
289,Bread,Bagel,Milk,,,,
290,Cheese,Meat,Eggs,Milk,,,
291,Cheese,Diaper,Pencil,Bagel,Wine,Meat,Eggs
292,Eggs,Meat,Wine,Bagel,Milk,Cheese,Diaper
293,Meat,,,,,,
294,Bread,Bagel,Milk,,,,
295,Pencil,,,,,,
296,Wine,Diaper,Bread,Cheese,,,
297,Bagel,Pencil,Wine,Meat,,,
298,Wine,Bread,,,,,
299,Bread,Milk,Eggs,Cheese,Wine,Pencil,
300,Cheese,Milk,Meat,Eggs,Bagel,,
301,Cheese,Meat,Eggs,Milk,,,
302,Diaper,Wine,Meat,Eggs,,,
303,Meat,Diaper,,,,,
304,Pencil,Wine,Bread,Milk,,,
305,Bagel,Bread,Eggs,Milk,Pencil,Meat,Wine
306,Milk,Cheese,Wine,Meat,Bagel,Diaper,Bread
307,Bagel,Diaper,Milk,Cheese,Wine,,
308,Bread,Bagel,Milk,,,,
309,Diaper,,,,,,
310,Bagel,Pencil,Bread,Cheese,Eggs,,
311,Bread,Eggs,Cheese,,,,
312,Meat,Milk,Pencil,,,,
313,Bread,Cheese,Eggs,Meat,Pencil,Diaper,Wine
314,Meat,Cheese,,,,,
315,Eggs,Wine,Bagel,Bread,Meat,,
